flow_id,channel_type,rssi_target,rssi_db_used_mean,attempted_packets,received_packets,dropped_packets,empirical_loss_ratio,expected_loss_ratio_mean,ci95_low,ci95_high,absolute_error,seed_count,min_attempted_per_seed,max_attempted_per_seed,packet_threshold_pass,seed_threshold_pass
control,control,-95.0,-95.0,5000,1,4999,0.9998,0.9997970000000002,0.998867881829747,0.9999646951247276,2.9999999998642224e-06,5,1000,1000,True,True
control,control,-90.0,-90.0,5000,11,4989,0.9978,0.997527,0.9960645504871152,0.9987710973879097,0.0002729999999999677,5,1000,1000,True,True
control,control,-85.0,-85.0,5000,144,4856,0.9712,0.9706879999999999,0.9661901590547631,0.9754863320635808,0.000512000000000068,5,1000,1000,True,True
control,control,-82.0,-82.0,5000,569,4431,0.8862,0.8807970000000002,0.8770993469390542,0.8947076583026785,0.005402999999999825,5,1000,1000,True,True
control,control,-80.0,-80.0,5000,1361,3639,0.7278,0.731059,0.715291278607063,0.7399589435422552,0.003259000000000012,5,1000,1000,True,True
control,control,-78.0,-78.0,5000,2537,2463,0.4926,0.5,0.4787532256167725,0.5064581367892638,0.007400000000000018,5,1000,1000,True,True
control,control,-76.0,-76.0,5000,3632,1368,0.2736,0.268941,0.261420222205046,0.28612740600125064,0.004659000000000024,5,1000,1000,True,True
control,control,-74.0,-74.0,5000,4358,642,0.1284,0.119203,0.1194116317308093,0.13795894530744063,0.009196999999999983,5,1000,1000,True,True
control,control,-72.0,-72.0,5000,4746,254,0.0508,0.047426,0.04505073709607098,0.05723899165953153,0.003373999999999995,5,1000,1000,True,True
control,control,-70.0,-70.0,5000,4928,72,0.0144,0.017986,0.011450896966502703,0.018094722543115668,0.003585999999999999,5,1000,1000,True,True
control,control,-68.0,-68.0,5000,4966,34,0.0068,0.006693000000000001,0.004870303811000636,0.00948698519670896,0.00010699999999999859,5,1000,1000,True,True
control,control,-65.0,-65.0,5000,4995,5,0.001,0.001501,0.00042720718893578876,0.0023389874883697442,0.0005009999999999999,5,1000,1000,True,True
control,control,-60.0,-60.0,5000,4999,1,0.0002,0.000123,3.5304875272480036e-05,0.0011321181702531819,7.7e-05,5,1000,1000,True,True
payload,payload,-95.0,-95.0,5000,1,4999,0.9998,0.9997970000000002,0.998867881829747,0.9999646951247276,2.9999999998642224e-06,5,1000,1000,True,True
payload,payload,-90.0,-90.0,5000,16,4984,0.9968,0.997527,0.994807893930756,0.998029289404544,0.0007270000000000332,5,1000,1000,True,True
payload,payload,-85.0,-85.0,5000,147,4853,0.9706,0.9706879999999999,0.9655442196401266,0.9749331927543826,8.799999999986596e-05,5,1000,1000,True,True
payload,payload,-82.0,-82.0,5000,606,4394,0.8788,0.8807970000000002,0.8694617565138207,0.8875566111339481,0.0019970000000001376,5,1000,1000,True,True
payload,payload,-80.0,-80.0,5000,1338,3662,0.7324,0.731059,0.7199537578761109,0.7444894011559416,0.0013410000000000366,5,1000,1000,True,True
payload,payload,-78.0,-78.0,5000,2532,2468,0.4936,0.5,0.4797520757740206,0.5074577511717404,0.006400000000000017,5,1000,1000,True,True
payload,payload,-76.0,-76.0,5000,3661,1339,0.2678,0.268941,0.25570754037000326,0.2802489935058892,0.0011410000000000031,5,1000,1000,True,True
payload,payload,-74.0,-74.0,5000,4429,571,0.1142,0.119203,0.10567859138905673,0.12331378918510054,0.0050030000000000074,5,1000,1000,True,True
payload,payload,-72.0,-72.0,5000,4752,248,0.0496,0.047426,0.04391998748548934,0.055971583822443355,0.0021739999999999954,5,1000,1000,True,True
payload,payload,-70.0,-70.0,5000,4922,78,0.0156,0.017986,0.012518186641408368,0.01942559031587981,0.0023859999999999992,5,1000,1000,True,True
payload,payload,-68.0,-68.0,5000,4962,38,0.0076,0.006693000000000001,0.005542191270153625,0.010413869369335844,0.000906999999999999,5,1000,1000,True,True
payload,payload,-65.0,-65.0,5000,4995,5,0.001,0.001501,0.00042720718893578876,0.0023389874883697442,0.0005009999999999999,5,1000,1000,True,True
payload,payload,-60.0,-60.0,5000,4997,3,0.0006,0.000123,0.00020407096088550332,0.001762737900530094,0.00047699999999999994,5,1000,1000,True,True
