source_log,row_index,run_id,packet_uid,timestamp,flow_id,channel_type,tx_node,rx_node,direction,packet_size,rtp_sequence_number,rtp_timestamp_90khz,frame_id,rtp_parse_offset,RSSI_from_Sionna,RSSI_used_for_drop_decision,expected_p_loss,random_draw,final_decision,drop_reason,seed,sionna_sample_valid,sionna_channel_model,sionna_source_wall_time,sionna_source_sim_time,ns3_sionna_update_time,received,dropped,is_rtp
logs/stage24_rf_stress_final_20260605T132014Z/stage24_route_rssi_packets_raw.csv,2,stage24_rf_stress_final_20260605T132014Z,2,0.03165375,payload,payload,2,3,near_to_far,94,,,,,nan,nan,0.0,0.891841605,received,none,1337,false,,nan,nan,nan,1,0,False
logs/stage24_rf_stress_final_20260605T132014Z/stage24_route_rssi_packets_raw.csv,3,stage24_rf_stress_final_20260605T132014Z,3,0.042169869,payload,payload,3,2,far_to_near,94,,,,,nan,nan,0.0,0.492598741,received,none,1337,false,,nan,nan,nan,1,0,False
logs/stage24_rf_stress_final_20260605T132014Z/stage24_route_rssi_packets_raw.csv,4,stage24_rf_stress_final_20260605T132014Z,4,0.099647076,payload,payload,3,2,far_to_near,90,,,,,nan,nan,0.0,0.700587941,received,none,1337,false,,nan,nan,nan,1,0,False
logs/stage24_rf_stress_final_20260605T132014Z/stage24_route_rssi_packets_raw.csv,5,stage24_rf_stress_final_20260605T132014Z,5,0.187589182,payload,payload,2,3,near_to_far,90,,,,,-55.0,-55.0,1.013e-05,0.089832676,received,none,1337,true,rt_online_warmup,nan,nan,0.1,1,0,False
logs/stage24_rf_stress_final_20260605T132014Z/stage24_route_rssi_packets_raw.csv,10,stage24_rf_stress_final_20260605T132014Z,9,0.891599957,payload,payload,2,3,near_to_far,94,,,,,-55.0,-55.0,1.013e-05,0.806820019,received,none,1337,true,rt_online_warmup,nan,nan,0.8,1,0,False
logs/stage24_rf_stress_final_20260605T132014Z/stage24_route_rssi_packets_raw.csv,11,stage24_rf_stress_final_20260605T132014Z,11,0.987597557,payload,payload,3,2,far_to_near,94,,,,,-55.0,-55.0,1.013e-05,0.939690061,received,none,1337,true,rt_online_warmup,nan,nan,0.9,1,0,False
logs/stage24_rf_stress_final_20260605T132014Z/stage24_route_rssi_packets_raw.csv,12,stage24_rf_stress_final_20260605T132014Z,12,1.115622945,payload,payload,3,2,far_to_near,94,,,,,-55.0,-55.0,1.013e-05,0.199636076,received,none,1337,true,rt_online_warmup,nan,nan,1.1,1,0,False
logs/stage24_rf_stress_final_20260605T132014Z/stage24_route_rssi_packets_raw.csv,13,stage24_rf_stress_final_20260605T132014Z,13,1.125886345,payload,payload,3,2,far_to_near,74,,,,,-55.0,-55.0,1.013e-05,0.828856766,received,none,1337,true,rt_online_warmup,nan,nan,1.1,1,0,False
logs/stage24_rf_stress_final_20260605T132014Z/stage24_route_rssi_packets_raw.csv,14,stage24_rf_stress_final_20260605T132014Z,14,1.215614117,payload,payload,2,3,near_to_far,94,,,,,-55.0,-55.0,1.013e-05,0.637260224,received,none,1337,true,rt_online_warmup,nan,nan,1.2,1,0,False
logs/stage24_rf_stress_final_20260605T132014Z/stage24_route_rssi_packets_raw.csv,15,stage24_rf_stress_final_20260605T132014Z,15,1.226263517,payload,payload,2,3,near_to_far,74,,,,,-55.0,-55.0,1.013e-05,0.32542951,received,none,1337,true,rt_online_warmup,nan,nan,1.2,1,0,False
